Values	TimeTest	TimeControl
16	1	7
32	2	4
64	6	8
128	22	13
256	88	149
512	357	60
1024	1540	124
2048	5795	256
4096	23732	540
8192	91599	1129
16384	368569	2467
32768	1474264	5212
65536	5931473	4727
131072	23791127	9956
262144	95257012	17922
